title,price,rating,availability,url,description,genre,target_audience
The Darkest Lie,35.35,5,In stock,http://books.toscrape.com/catalogue/the-darkest-lie_747/index.html,"“The mother I knew would never do those things.But maybe I never knew her after all.”Clothes, jokes, coded messages…Cecilia Brooks and her mom shared everything. At least, CeCe thought they did. Six months ago, her mom killed herself after accusations of having sex with a student, and CeCe’s been the subject of whispers and taunts ever since. Now, at the start of her high school senior year, between dealing with her grieving, distracted father, and the social nightmare that has become her life, CeCe just wants to fly under the radar. Instead, she’s volunteering at the school’s crisis hotline—the same place her mother",Fiction,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock,http://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,"Fans of The Mortal Instruments and The Infernal Devices can get to know warlock Magnus Bane like never before in this collection of New York Times bestselling tales, in print for the first time with an exclusive new story and illustrated material. This collection of eleven short stories illuminates the life of the enigmatic Magnus Bane, whose alluring personality, flamboyant style, and sharp wit populate the pages of the #1 New York Times bestselling series, The Mortal Instruments and The Infernal Devices. Originally released one-by-one as e-only short stories by Cassandra Clare, Maureen Johnson, and Sarah Rees Brennan.",Fantasy,Young Adult
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,In stock,http://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html,"To save precious centuries-old Arabic texts from Al Qaeda, a band of librarians in Timbuktu pulls off a brazen heist worthy of Ocean’s Eleven. In the 1980s, a young adventurer and collector for a government library, Abdel Kader Haidara, journeyed across the Sahara Desert and along the Niger River, tracking down and salvaging tens of thousands of ancient Islamic and secular manuscripts that had fallen into obscurity. The Bad-Ass Librarians of Timbuktu tells the incredible story of how Haidara, a mild-mannered archivist and historian from the legendary city of Timbuktu, later became one of the world’s greatest and most b",Non-Fiction,Adult
The 14th Colony (Cotton Malone #11),39.24,1,In stock,http://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html,"Shot down over Siberia in what was to be a simple meet-and-greet-mission, ex-Justice Department agent Cotton Malone is forced into a fight for survival against Aleksandr Zorin, whose loyalty to the former Soviet Union has festered for decades into an intense hatred of the United States. Before escaping, Malone learns that Zorin and another ex-KGB officer, this one a sleeper still imbedded in the West, are headed overseas to Washington D.C. Inauguration Day-noon on January 20th-is only hours away. A flaw in the Constitution, and an even more flawed presidential succession act, have opened the door to political chaos an",Thriller,Adult
That Darkness (Gardiner and Renner #1),13.92,1,In stock,http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,"As a forensic investigator for the Cleveland Police Department, Maggie Gardiner has seen her share of Jane Does. The latest is an unidentified female in her early teens, discovered in a local cemetery. More shocking than the girl’s injuries—for Maggie at least—is the fact that no one has reported her missing. She and the detectives assigned to the case (including her cop ex-husband) are determined to follow every lead, run down every scrap of evidence. But the monster they seek is watching each move, closer to them than they could ever imagine. Jack Renner is a killer. He doesn’t murder because he savors it, or becau",Thriller,Adult
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,"Sarah Hilary won the 2015 Theakston's Crime Novel of the Year with her debut, the 2014 Richard and Judy pick SOMEONE ELSE'S SKIN. She followed up with NO OTHER DARKNESS, proclaimed as 'riveting' by Lisa Gardner and 'truly mesmerising' by David Mark. Now D.I. Marnie Rome returns in her third novel.Home is where Harm lies...The young girl who causes the fatal car crash disappears from the scene.A runaway who doesn't want to be found, she only wants to go home.To the one man who understands her.Gives her shelter. Just as he gives shelter to the other lost girls who live in his house.He's the head of her new family.",Thriller,Adult
Take Me with You,45.21,3,In stock,http://books.toscrape.com/catalogue/take-me-with-you_741/index.html,"August Shroeder, a burned-out teacher, has been sober since his 19-year-old son died. Every year he's spent the summer on the road, but making it to Yellowstone this year means everything. The plan had been to travel there with his son, but now August is making the trip with Philip's ashes instead. An unexpected twist of fate lands August with two extra passengers for his journey, two half-orphans with nowhere else to go. What none of them could have known was how transformative both the trip and the bonds that develop between them would prove, driving each to create a new destiny together.",Fiction,Adult
Swell: A Year of Waves,45.58,1,In stock,http://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html,"Wave watchers around the world know that no two waves are the same. Yet each and every wave that rises, peaks, and crashes onto the beach is generated by a much larger force originating thousands of miles away. Surf journalist team Evan Slater and Peter Taras capture the essence of waves and the swells that produce them in this breathtaking collection of wave photography. Slater characterizes four distinct swells from different corners of the globe and traces their journeys throughout the year from storm to seashore. His reflective, informative essays amplify these powerful images of hundreds of waves frozen in time.",Non-Fiction,Adult
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,http://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,"Superman is going through some changes. First, there's his new ""solar flare"" power, which releases tremendous amounts of energy but leaves him functionally human - fragile, vulnerable, prone to hangovers - for 24 hours. But an even bigger change is coming. A new company called Hordr has sprung up, and its business is secrets. If you have one that you want to keep hidden, Hordr can control you - and no one has a bigger secret than Clark Kent. Now, Hordr is threatening to expose Clark's alter ego unless he does everything they command. Will Superman play into the hands of blackmailers to keep his loved ones out of danger?",Fiction,Adult
Still Life with Bread Crumbs,26.41,3,In stock,http://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html,"A superb love story from Anna Quindlen, the #1 New York Times bestselling author of Rise and Shine, Blessings, and A Short Guide to a Happy Life Still Life with Bread Crumbs begins with an imagined gunshot and ends with a new tin roof. Between the two is a wry and knowing portrait of Rebecca Winter, a photographer whose work made her an unlikely heroine for many women. Her career is now descendent, her bank balance shaky, and she has fled the city for the middle of nowhere. There she discovers, in a tree stand with a roofer named Jim Bates, that what she sees through a camera lens is not all there is to life.",Fiction,Adult
Steve Jobs,39.5,5,In stock,http://books.toscrape.com/catalogue/steve-jobs_737/index.html,"From best-selling author Walter Isaacson comes the landmark biography of Apple co-founder Steve Jobs. In Steve Jobs: The Exclusive Biography, Isaacson provides an extraordinary account of Jobs' professional and personal life. Drawn from three years of exclusive and unprecedented interviews Isaacson has conducted with Jobs as well as extensive interviews with Jobs' family members and key colleagues from Apple and its competitors, Steve Jobs: The Exclusive Biography is the definitive portrait of the greatest innovator of his generation.",Biography,Adult
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock,http://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,"Horse meat in our burgers, melamine in our infant formula, artificial colors in our fish and fruit--as our urban lifestyle takes us farther away from our food sources, there are increasing opportunities for dishonesty, duplicity, and profit-making shortcuts. Food adulteration, motivated by money, is an issue that has spanned the globe throughout human history. Whether it's a matter of making a good quality oil stretch a bit further by adding a little extra 'something' or labeling a food falsely to appeal to current consumer trends--it's all food fraud. Consumers may pay the ultimate costs for these crimes, with their",Non-Fiction,Adult
Someone Like You (The Harrisons #2),52.79,5,In stock,http://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html,"Pierce Harrison--yes, that Pierce Harrison, black sheep of the wealthy Harrison clan--has come home to his family's luxurious Long Island compound. The big question is why the dangerously sexy soccer star agreed to coach a kids' soccer team. His co-coach Abby McCord should be grateful. Instead she's fending off some seriously smoldering advances from the scandal-ridden athlete. Good thing bad boys are so not her type . . . Abby is definitely not lacking in passion, but the sweet-faced beauty needs to learn a thing or two about taking a team to the championship--and a whole lot about how to let a man into her once-broken heart.",Romance,Adult
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock,http://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,"The Kobayashi twins, Megumu and Mitsuru, were named after historical figures, but only Megumu has grown up with a taste for history. So when Mitsuru is in danger of losing his weekends to extra history classes, he convinces his sister to swap clothes with him and ace his tests! After all, how hard can it be for them to play each other? Megumu is considering a career as a manga artist, but as Mitsuru so helpfully points out, her drawing skills could use a lot of improvement. That doesn’t dim her enthusiasm, and she vows to practice drawing every day. But her first sketching session in a park is interrupted by an intens",Fiction,Young Adult
Shtum,55.84,4,In stock,http://books.toscrape.com/catalogue/shtum_733/index.html,"Powerful, darkly funny and heart-breaking, Shtum is a story about fathers and sons, autism, and dysfunctional relationships. Ben Jewell has hit breaking point. His ten-year-old son Jonah has severe autism and Ben and his wife, Emma, are struggling to cope. When Ben and Emma fake a separation - a strategic decision to further Jonah's case in an upcoming tribunal - Ben and Jonah move in with Georg, Ben's elderly father. In a small house in North London, three generations of men - one who can't talk; two who won't - are thrown together. A powerful, emotional, but above all enjoyable read, perfect for fans of THE SHOCK OF T",Fiction,Adult
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,"To coincide with the 2016 centennial anniversary of the National Parks Service, the Creative Action Network has partnered with the National Parks Conservation Association to revive and reimagine the legacy of WPA travel posters. Artists from all over the world have participated in the creation of this new, crowdsourced collection of See America posters for a modern era. Featuring artwork for 75 national parks and monuments across all 50 states, this engaging keepsake volume celebrates the full range of our nation's landmarks and treasured wilderness.",Art,Adult
salt.,46.78,4,In stock,http://books.toscrape.com/catalogue/salt_731/index.html,"Salt is a journey through warmth and sharpness. This collection of poetry explores the realities of multiple identities, language, diasporic life & pain, the self, community, healing, celebration, and love.",Poetry,Adult
Robin War,47.82,3,In stock,http://books.toscrape.com/catalogue/robin-war_730/index.html,"It’s Robins vs. cops! Robins vs. Robins! Robins vs. Batman! Robins vs. the Court of Owls‽Collecting: Robin War 1-2, Grayson 15, Detective Comics 47, We Are Robin... 7, Robin: Son of Batman 7, Gotham Academy 13, Red Hood/Arsenal 7, & Teen Titans 15",Fantasy,Young Adult
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock,http://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,"Red Hood and Arsenal are open for business! After working for the mysterious Tara Battleworth as on-staff outlaws, Roy and Jason have decided to branch out on their own as freelance problem solvers, investigators, and general butt-kicking specialists. But when the sinister corporate scourge of Underbelly rears its ugly head, can our heroes overcome pure evil and corruption made manifest? Collects RED HOOD/ARSENAL #1-6.",Fiction,Young Adult
Rain Fish,23.57,3,In stock,http://books.toscrape.com/catalogue/rain-fish_728/index.html,"Get to know the “rain fish” that come to life during rainstorms in this gorgeous exploration of nature with vibrant collage artwork from the Caldecott Honor–winning illustrator of Chicka Chicka Boom Boom. When blue sky turns gray and it rains all day, sometimes rain fish come out and play. They swim among discards and debris. Do you see them, too? Or is it just me? Through lyrical text and her incomparable mixed-media collage illustrations, Lois Ehlert introduces readers to “rain fish”—the varied, colorful, and unique little collections of materials that float along on streams of rain water during storms. From a scrap",Children,Children
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock,http://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,"The creator of the popular Tumblr and Instagram ""Quarter Life Poetry"" tackles the real-life truths of work, money, sex, and many other challenges 20-somethings face in a laugh-out-loud collection of poetry. Samantha Jayne knows that life post-college isn't as glamorous as all undergrads think it's going to be... because she's currently living it. A graphic artist, Sam started creating doodles and funny poems about her life as a 25-year-old. And when she decided to put them on Instagram, the captions were full of other people tagging friends and saying, ""This is literally us.""",Poetry,Young Adult
Pet Sematary,10.56,3,In stock,http://books.toscrape.com/catalogue/pet-sematary_726/index.html,"Sometimes dead is better....When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son -- and now an idyllic home. As a family, they've got it all...right down to the friendly cat.But the nearby woods hide a blood-chilling truth -- more terrifying than death itself...and hideously more powerful.",Horror,Adult
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,In stock,http://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html,"#1 New York Times bestselling author Joyce Meyer shows readers how to become free from the burden of stress so that they can achieve God's best for their lives. As technology increases your accessibility, it becomes harder to mute the background noise of your life and receive God's guidance. Joyce Meyer calls this OVERLOAD, when the demands of your busy life become all-consuming and overwhelming. But to experience the joyful life God has planned, you must make time to focus on His Word. Then you'll receive His healing calmness and gain the strength to take on life's challenges, from physical ailments to problems in relationships.",Self-Help,Adult
Once Was a Time,18.28,2,In stock,http://books.toscrape.com/catalogue/once-was-a-time_724/index.html,"In the war-ravaged England of 1940, Charlotte Bromley is sure of only one thing: Kitty McLaughlin is her best friend in the whole world. But when Charlotte's scientist father makes an astonishing discovery that the Germans will covet for themselves, Charlotte is faced with an impossible choice between danger and safety. Should she remain with her friend or journey to another time and place? Her split-second decision has huge consequences, and when she finds herself alone in the world, unsure of Kitty's fate, she knows that somehow, some way, she must find her way back to her friend. Written in the spirit of classic t",Fiction,Young Adult
Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,http://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html,"In the latest installment of the phenomenally bestselling Diary of a Wimpy Kid series, author-illustrator Jeff Kinney brings the series back to its roots, as Greg starts a new school year and faces a challenge he never could've imagined.",Children,Children
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,In stock,http://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,"Beloved American hero Buzz Aldrin reflects on the wisdom, guiding principles, and irreverent anecdotes he's gathered through his event-filled life—both in outer space and on earth—in this inspiring guide-to-life for the next generation. Everywhere he goes, crowds gather to meet Buzz Aldrin. He is a world-class hero, a larger-than-life figurehead, best known of a generation of astronauts whose achievements surged in just a few years from first man in space to first men on the moon. Now he pauses to reflect and share what he has learned, from the vantage point not only of outer space but also of time: still a non-stop",Biography,Adult
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock,http://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,"Naruto is a young shinobi with an incorrigible knack for mischief. He’s got a wild sense of humor, but Naruto is completely serious about his mission to be the world’s greatest ninja! It’s Deidara vs. Sasuke, but even Deidara’s Ultimate Art may be no match for the all-powerful new Sasuke. The battle culminates in a giant explosion, leaving members of Team Kakashi concerned, especially when Karin cannot sense Sasuke’s chakra. Plus, deep inside the Land of Rain lies an Akatsuki secret that sheds doubt on the organization’s true intentions, as well as their mysterious leader, Pain.",Fantasy,Young Adult
My Name Is Lucy Barton,41.56,1,In stock,http://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,"A new book by Pulitzer Prize winner Elizabeth Strout is cause for celebration. Her bestselling novels, including Olive Kitteridge and The Burgess Boys, have illuminated our most tender relationships. Now, in My Name Is Lucy Barton, this extraordinary writer shows how a simple hospital visit becomes a portal to the most tender relationship of all—the one between mother and daughter. Lucy Barton is recovering slowly from what should have been a simple operation. Her mother, to whom she hasn’t spoken for many years, comes to see her. Gentle gossip about people from Lucy’s childhood in Amgash, Illinois, seems to reconnect them.",Fiction,Adult
My Mrs. Brown,24.48,3,In stock,http://books.toscrape.com/catalogue/my-mrs-brown_719/index.html,"From William Norwich, the well-known fashion writer and editor, an unforgettable novel about a woman with a secret who travels to New York City on a determined quest to buy a special dress that represents everything she wants to say about that secret…and herself. Sometimes a dress isn’t just a dress. Emilia Brown is a woman of a certain age. She has spent a frugal, useful, and wholly restrained life in Ashville, a small town in Rhode Island. Overlooked especially by the industries of fashion and media, Mrs. Brown is one of today’s silent generations of women whose quiet no-frills existences would make them seem invisib",Fiction,Adult
My Kind of Crazy,40.36,1,In stock,http://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html,"Despite the best of intentions, seventeen-year old, wisecracking Hank Kirby can’t quite seem to catch a break. It’s not that he means to screw things up all the time, it just happens. A lot. Case in point: his attempt to ask out the girl he likes literally goes up in flames when he spells “Prom” in sparklers on her lawn…and nearly burns down her house. As if that wasn’t bad enough, Peyton Breedlove, a brooding loner and budding pyromaniac, witnesses the whole thing. Much to Hank’s dismay, Peyton takes an interest in him—and his “work.” The two are thrust into an unusual friendship, but their boundaries are tested whe",Fiction,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,http://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html,"In the frigid pre-dawn hours, in a distressed Midwestern city, hundreds of desperate unemployed folks are lined up for a spot at a job fair. Without warning, a lone driver plows through the crowd in a stolen Mercedes, running over the innocent, backing up, and charging again. Eight people are killed; fifteen are wounded. The killer escapes. In another part of town, months later, a retired cop named Bill Hodges is still haunted by the unsolved crime. When he gets a crazed letter from someone who self-identifies as the 'perk' and threatens an even more diabolical attack, Hodges wakes up from his depressed and vacant ret.",Thriller,Adult
More Than Music (Chasing the Dream #1),37.61,2,In stock,http://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html,"Classical musician Maddie Taylor secretly dreams of a louder life, but geeky girls like her don't get to be rock stars. That is, until tattooed singer Jared Cross catches her playing guitar and invites her to join his band on The Sound, a reality TV show competition. Once on the show, Maddie discovers there's more to Jared than his flirty smile and bad boy reputation. With each performance their attraction becomes impossible to ignore, but when the show pressures them to stay single, they're forced to keep their relationship secret. As the competition heats up, Jared will do whatever it takes for his band to win, and Ma",Romance,Young Adult
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock,http://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,"Mark Twain once observed, “A lie can get halfway around the world before the truth can even get its boots on.” His observation rings true: Urban legends, conspiracy theories, and bogus public-health scares circulate effortlessly. Meanwhile, people with important ideas–business people, teachers, politicians, journalists, and others–struggle to make their ideas “stick.” Why do some ideas thrive while others die? And how do we improve the chances of worthy ideas? In Made to Stick, accomplished educators and idea collectors Chip and Dan Heath tackle head-on these vexing questions. Inside, the brothers Heath reveal the ana",Non-Fiction,Adult
Luis Paints the World,53.95,3,In stock,http://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,"Luis wishes Nico wasn't leaving for the Army. To show Nico he doesn't need to go, Luis begins a mural on the alleyway wall. Their house, the river, the Parque de las Ardillas—it's the world, all right there. Won't Nico miss Mami's sweet flan? What about their baseball games in the street? But as Luis awaits his brother's return from duty, his own world expands as well, through swooping paint and the help of their bustling Dominican neighborhood.",Fiction,Young Adult
Luckiest Girl Alive,49.83,3,In stock,http://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html,"HER PERFECT LIFE IS A PERFECT LIE.As a teenager at the prestigious Bradley School, Ani FaNelli endured a shocking, public humiliation that left her desperate to reinvent herself. Now, with a glamorous job, expensive wardrobe, and handsome blue blood fiancé, she’s this close to living the perfect life she’s worked so hard to achieve.But Ani has a secret.There’s something else buried in her past that still haunts her, something private and painful that threatens to bubble to the surface and destroy everything.With a singular voice and twists you won’t see coming, Luckiest Girl Alive explores the unbearable pressure tha",Fiction,Adult
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock,http://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,"The lovable trio from the acclaimed Lowriders in Space are back! Lupe Impala, Elirio Malaria, and El Chavo Octopus are living their dream at last. They're the proud owners of their very own garage. But when their beloved cat Genie goes missing, they need to do everything they can to find him. Little do they know the trail will lead them to the realm of Mictlantecuhtli, the Aztec god of the Underworld, who is keeping Genie prisoner! With cool Spanish phrases on every page, a glossary of terms, and an action-packed plot that sneaks in science as well as Aztec lore, Lowriders to the Center of the Earth is a linguistic a",Children,Children
Love Is a Mix Tape (Music #1),18.03,1,In stock,http://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,"In this stunning memoir, Rob Sheffield, a veteran rock and pop culture critic and staff writer for Rolling Stone magazine, tells the story of his musical coming of age, and how rock music, the first love of his life, led him to his second, a girl named Renee. Rob and Renee's life together - they wed after graduate school, both became music journalists, and were married only five years when Renee died suddenly on Mother's Day, 1997 - is shared through the window of the mix tapes they obsessively compiled. There are mixes to court each other, mixes for road trips, mixes for doing the dishes, mixes for sleeping - and, e",Biography,Adult
Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock,http://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,"I want you to take every step of your life with excitement for where you are headed. And I want you to feel beautiful and confident as you do.” But how? When the enemy whispers lies that you are not smart enough, pretty enough, or rich enough? Or you are too dumb, too loud, too quiet, too thin, too fat, too much or not enough? What if you don’t have what it takes to be who you really want to be? In Looking for Lovely, Annie F. Downs shares personal stories, biblical truth, and examples of how others have courageously walked the path God paved for their lives by remembering all God had done, loving what was right in",Self-Help,Adult
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,In stock,http://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html,"Learning not shared is learning wasted. In my thirty-five years of experience in the oil and banking industries, including ascending levels of management and leadership responsibilities, I have gained what I believe to be valuable insight into many styles of leadership. Former President of the United States, Harry S. Truman, once said “It’s what you learn after you know it all that really counts.” We must continue our education if we want to keep pace with progress. The learning process that begins with our parents and through the influence of others with whom we associate continues throughout life. The insight I hav",Non-Fiction,Adult
Let It Out: A Journey Through Journaling,26.79,5,In stock,http://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html,"You want change. Maybe your career isn’t what you thought it would be . . . or your relationships aren’t what you had hoped. Perhaps you have a grand vision for your life but not the smallest clue on the steps to get there. Whether you’ve read the entire self-help section of the bookstore in vain or feel completely stuck on where to begin, you wish you had someone to hold your hand and guide you. You do. And it’s only a blank page away. In Let It Out, millennial blogger, speaker, and podcast host Katie Dalebout shares the transformative practice that will rocket your life to the next level—journaling. Discovering in her",Self-Help,Young Adult
Lady Midnight (The Dark Artifices #1),16.28,5,In stock,http://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html,"In a kingdom by the sea…In a secret world where half-angel warriors are sworn to fight demons, parabatai is a sacred word.A parabatai is your partner in battle. A parabatai is your best friend. Parabatai can be everything to each other—but they can never fall in love.Emma Carstairs is a warrior, a Shadowhunter, and the best in her generation. She lives for battle. Shoulder to shoulder with her parabatai, Julian Blackthorn, she patrols the streets of Los Angeles, where vampires party on the Sunset Strip, and faeries—the most powerful of supernatural creatures—teeter on the edge of open war with Shadowhunters.",Fantasy,Young Adult
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,In stock,http://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html,"For fans of It's All Good-or just delicious food-here is the cookbook that will help anyone make delectable, healthy meals in no time! Gwyneth Paltrow is back to share more than 125 of her favorite recipes that can be made in the time it would take to order takeout (which often contains high quantities of fat, sugar, and processed ingredients). All the dishes are surprisingly tasty, with little or no sugar, fat, or gluten. From easy breakfasts to lazy suppers, this book has something for everybody. Yummy recipes include Chocolate Cinnamon Overnight Oats, Soft Polenta with Cherry Tomatoes, Chicken Enchiladas, Pita Bre",Cookbook,Adult
Island of Dragons (Unwanteds #7),29.65,1,In stock,http://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html,"Twins Alex and Aaron Stowe are put to the ultimate test to fulfill their destinies and save both Quill and Artimé from the deadliest enemy the cities have ever faced in the thrilling conclusion of the New York Times bestselling Unwanteds series, which Kirkus Reviews called “The Hunger Games meets Harry Potter.” Head mage Alexander Stowe and his friends successfully fended off the latest threat to their magical world of Artimé with the help of a surprise ally. But old enemies have secretly been plotting against them. Now Alex must lead his people in a final epic battle, one they can’t hope to win alone. Will Artimé fin",Fantasy,Young Adult
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,In stock,http://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,"New York Times bestselling author and stand-up comedian Jen Kirkman delivers a hilarious, candid memoir about marriage, divorce, sex, turning forty, and still not quite having life figured out. Jen Kirkman wants to be the voice in your head that says, Hey, you’re okay. Even if you sometimes think you aren’t! And especially if other people try to tell you you’re not. In I Know What I’m Doing—and Other Lies I Tell Myself, Jen offers up all the gory details of a life permanently in progress. She reassures you that it’s okay to not have life completely figured out, even when you reach middle age (and find your first gray p",Biography,Adult
I Am Pilgrim (Pilgrim #1),10.6,4,In stock,http://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html,"A breakneck race against time...and an implacable enemy.An anonymous young woman murdered in a run-down hotel, all identifying characteristics dissolved by acid. A father publicly beheaded in the blistering heat of a Saudi Arabian public square. A notorious Syrian biotech expert found eyeless in a Damascus junkyard. Smoldering human remains on a remote mountainside in Afghanistan. A flawless plot to commit an appalling crime against humanity. One path links them all, and only one man can make the journey.Pilgrim.",Thriller,Adult
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,http://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,"This is a book I wrote. Because I wrote it, I had to figure out what to put on the back cover to explain what it is. I tried to write a long, third-person summary that would imply how great the book is and also sound vaguely authoritative--like maybe someone who isn’t me wrote it--but I soon discovered that I’m not sneaky enough to pull it off convincingly. So I decided to just make a list of things that are in the book: Pictures Words Stories about things that happened to me Stories about things that happened to other people because of me Eight billion dollars* Stories about dogs The secret to eternal happiness**",Non-Fiction,Adult
"Hush, Hush (Hush, Hush #1)",47.02,3,In stock,http://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html,"Romance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment. But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek so",Romance,Young Adult
Hold Your Breath (Search and Rescue #1),28.82,1,In stock,http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html,"In the remote Rocky Mountains, lives depend on the Search & Rescue brotherhood. But in a place this far off the map, trust is hard to come by and secrets can be murder...As the captain of Field County's ice rescue dive team, Callum Cook is driven to perfection. But when he meets new diver Louise ""Lou"" Sparks, all that hard-won order is obliterated in an instant. Lou is a hurricane. A walking disaster. And with her, he's never felt more alive...even if keeping her safe may just kill him.Lou's new to the Rockies, intent on escaping her controlling ex, and she's determined to make it on her own terms...no matter how temptin",Romance,Adult
Hamilton: The Revolution,58.79,3,In stock,http://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html,"Lin-Manuel Miranda's groundbreaking musical Hamilton is as revolutionary as its subject, the poor kid from the Caribbean who fought the British, defended the Constitution, and helped to found the United States. Fusing hip-hop, pop, R&B, and the best traditions of theater, this once-in-a-generation show broadens the sound of Broadway, reveals the storytelling power of rap, and claims our country's origins for a diverse new generation.HAMILTON: THE REVOLUTION gives readers an unprecedented view of both revolutions, from the only two writers able to provide it. Miranda, along with Jeremy McCarter, a cultural critic and thea",Musical,Adult
